"ID","Description","Statistics","P-value","q-value"
"PF16135","TPL-binding domain in jasmonate signalling","8/34399 | 3/884","0.0008599","0.2731"
"PF13517","Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella","1/34399 | 1/884","0.02570","0.2843"
"PF01142","tRNA pseudouridine synthase D (TruD)","1/34399 | 1/884","0.02570","0.2843"
"PF12838","4Fe-4S dicluster domain","1/34399 | 1/884","0.02570","0.2843"
"PF08772","Nin one binding (NOB1) Zn-ribbon like","1/34399 | 1/884","0.02570","0.2843"
"PF03853","YjeF-related protein N-terminus","1/34399 | 1/884","0.02570","0.2843"
"PF09808","Small nuclear RNA activating complex (SNAPc), subunit SNAP43","1/34399 | 1/884","0.02570","0.2843"
"PF17146","PIN domain of ribonuclease","1/34399 | 1/884","0.02570","0.2843"
"PF02514","CobN/Magnesium Chelatase","1/34399 | 1/884","0.02570","0.2843"
"PF11965","Domain of unknown function (DUF3479)","1/34399 | 1/884","0.02570","0.2843"
"PF14418","OST-HTH Associated domain","1/34399 | 1/884","0.02570","0.2843"
"PF03059","Nicotianamine synthase protein","10/34399 | 2/884","0.02589","0.2843"
"PF12146","Serine aminopeptidase, S33","26/34399 | 3/884","0.02834","0.2956"
"PF02780","Transketolase, C-terminal domain","11/34399 | 2/884","0.03111","0.2956"
"PF01179","Copper amine oxidase, enzyme domain","12/34399 | 2/884","0.03671","0.2956"
"PF03947","Ribosomal Proteins L2, C-terminal domain","12/34399 | 2/884","0.03671","0.2956"
"PF00929","Exonuclease","13/34399 | 2/884","0.04265","0.2956"
"PF03348","Serine incorporator (Serinc)","13/34399 | 2/884","0.04265","0.2956"
"PF00238","Ribosomal protein L14p/L23e","13/34399 | 2/884","0.04265","0.2956"
"PF00443","Ubiquitin carboxyl-terminal hydrolase","52/34399 | 4/884","0.04441","0.2956"
"PF08646","Replication factor-A C terminal domain","14/34399 | 2/884","0.04893","0.2956"
"PF00955","HCO3- transporter family","14/34399 | 2/884","0.04893","0.2956"
"PF08436","1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal","2/34399 | 1/884","0.05074","0.2956"
"PF03650","Uncharacterised protein family (UPF0041)","2/34399 | 1/884","0.05074","0.2956"
"PF01192","RNA polymerase Rpb6","2/34399 | 1/884","0.05074","0.2956"
"PF06414","Zeta toxin","2/34399 | 1/884","0.05074","0.2956"
"PF12719","Nuclear condensing complex subunits, C-term domain","2/34399 | 1/884","0.05074","0.2956"
"PF04536","TPM domain","2/34399 | 1/884","0.05074","0.2956"
"PF16206","C-terminal region of Mon2 protein","2/34399 | 1/884","0.05074","0.2956"
"PF03483","B3/4 domain","2/34399 | 1/884","0.05074","0.2956"
"PF00639","PPIC-type PPIASE domain","2/34399 | 1/884","0.05074","0.2956"
"PF11934","Domain of unknown function (DUF3452)","2/34399 | 1/884","0.05074","0.2956"
"PF13911","AhpC/TSA antioxidant enzyme","2/34399 | 1/884","0.05074","0.2956"
"PF04104","Eukaryotic and archaeal DNA primase, large subunit","2/34399 | 1/884","0.05074","0.2956"
"PF01876","RNase P subunit p30","2/34399 | 1/884","0.05074","0.2956"
"PF00838","Translationally controlled tumour protein","2/34399 | 1/884","0.05074","0.2956"
"PF05460","Origin recognition complex subunit 6 (ORC6)","2/34399 | 1/884","0.05074","0.2956"
"PF03095","Phosphotyrosyl phosphate activator (PTPA) protein","2/34399 | 1/884","0.05074","0.2956"
"PF03017","TNP1/EN/SPM transposase","2/34399 | 1/884","0.05074","0.2956"
"PF02602","Uroporphyrinogen-III synthase HemD","2/34399 | 1/884","0.05074","0.2956"
"PF06058","Dcp1-like decapping family","2/34399 | 1/884","0.05074","0.2956"
"PF01857","Retinoblastoma-associated protein B domain","2/34399 | 1/884","0.05074","0.2956"
"PF14306","PUA-like domain","2/34399 | 1/884","0.05074","0.2956"
"PF00197","Trypsin and protease inhibitor","2/34399 | 1/884","0.05074","0.2956"
"PF08911","NUP50 (Nucleoporin 50 kDa)","2/34399 | 1/884","0.05074","0.2956"
"PF11282","Protein of unknown function (DUF3082)","2/34399 | 1/884","0.05074","0.2956"
"PF06405","Red chlorophyll catabolite reductase (RCC reductase)","2/34399 | 1/884","0.05074","0.2956"
"PF07466","Protein of unknown function (DUF1517)","2/34399 | 1/884","0.05074","0.2956"
"PF05195","Aminopeptidase P, N-terminal domain","2/34399 | 1/884","0.05074","0.2956"
"PF01778","Ribosomal L28e protein family","2/34399 | 1/884","0.05074","0.2956"
"PF02144","Repair protein Rad1/Rec1/Rad17","2/34399 | 1/884","0.05074","0.2956"
"PF01725","Ham1 family","2/34399 | 1/884","0.05074","0.2956"
"PF04176","TIP41-like family","2/34399 | 1/884","0.05074","0.2956"
"PF01243","Pyridoxamine 5-phosphate oxidase","2/34399 | 1/884","0.05074","0.2956"
"PF00699","Urease beta subunit","2/34399 | 1/884","0.05074","0.2956"
"PF10890","Cytochrome b-c1 complex subunit 8","2/34399 | 1/884","0.05074","0.2956"
"PF13476","AAA domain","2/34399 | 1/884","0.05074","0.2956"
"PF00101","Ribulose bisphosphate carboxylase, small chain","2/34399 | 1/884","0.05074","0.2956"
"PF00249","Myb-like DNA-binding domain","337/34399 | 14/884","0.05471","0.3048"
"PF00574","Clp protease","15/34399 | 2/884","0.05552","0.3048"
"PF07911","Protein of unknown function (DUF1677)","15/34399 | 2/884","0.05552","0.3048"
"PF02779","Transketolase, pyrimidine binding domain","15/34399 | 2/884","0.05552","0.3048"
"PF08711","TFIIS helical bundle-like domain","15/34399 | 2/884","0.05552","0.3048"
"PF06521","PAR1 protein","15/34399 | 2/884","0.05552","0.3048"
"PF13041","PPR repeat family","1176/34399 | 39/884","0.06438","0.3178"
"PF02362","B3 DNA binding domain","59/34399 | 4/884","0.06506","0.3178"
"PF04258","Signal peptide peptidase","17/34399 | 2/884","0.06955","0.3178"
"PF01459","Eukaryotic porin","17/34399 | 2/884","0.06955","0.3178"
"PF13869","Nucleotide hydrolase","3/34399 | 1/884","0.07513","0.3178"
"PF05918","Apoptosis inhibitory protein 5 (API5)","3/34399 | 1/884","0.07513","0.3178"
"PF01747","ATP-sulfurylase","3/34399 | 1/884","0.07513","0.3178"
"PF01858","Retinoblastoma-associated protein A domain","3/34399 | 1/884","0.07513","0.3178"
"PF09324","Domain of unknown function (DUF1981)","3/34399 | 1/884","0.07513","0.3178"
"PF00503","G-protein alpha subunit","3/34399 | 1/884","0.07513","0.3178"
"PF00042","Globin","3/34399 | 1/884","0.07513","0.3178"
"PF06880","Protein of unknown function (DUF1262)","3/34399 | 1/884","0.07513","0.3178"
"PF02747","Proliferating cell nuclear antigen, C-terminal domain","3/34399 | 1/884","0.07513","0.3178"
"PF02390","Putative methyltransferase","3/34399 | 1/884","0.07513","0.3178"
"PF07460","NUMOD3 motif (2 copies)","3/34399 | 1/884","0.07513","0.3178"
"PF03989","DNA gyrase C-terminal domain, beta-propeller","3/34399 | 1/884","0.07513","0.3178"
"PF03919","mRNA capping enzyme, C-terminal domain","3/34399 | 1/884","0.07513","0.3178"
"PF11998","Protein of unknown function (DUF3493)","3/34399 | 1/884","0.07513","0.3178"
"PF15413","Pleckstrin homology domain","3/34399 | 1/884","0.07513","0.3178"
"PF14749","Acyl-coenzyme A oxidase N-terminal","3/34399 | 1/884","0.07513","0.3178"
"PF01287","Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold","3/34399 | 1/884","0.07513","0.3178"
"PF07575","Nup85 Nucleoporin","3/34399 | 1/884","0.07513","0.3178"
"PF12202","Oxidative-stress-responsive kinase 1 C-terminal domain","3/34399 | 1/884","0.07513","0.3178"
"PF03159","XRN 5-3 exonuclease N-terminus","3/34399 | 1/884","0.07513","0.3178"
"PF14360","PAP2 superfamily C-terminal","3/34399 | 1/884","0.07513","0.3178"
"PF12848","ABC transporter","3/34399 | 1/884","0.07513","0.3178"
"PF07516","SecA Wing and Scaffold domain","3/34399 | 1/884","0.07513","0.3178"
"PF14608","RNA-binding, Nab2-type zinc finger","3/34399 | 1/884","0.07513","0.3178"
"PF04096","Nucleoporin autopeptidase","3/34399 | 1/884","0.07513","0.3178"
"PF01871","AMMECR1","3/34399 | 1/884","0.07513","0.3178"
"PF05997","Nucleolar protein,Nop52","3/34399 | 1/884","0.07513","0.3178"
"PF02847","MA3 domain","18/34399 | 2/884","0.07695","0.3207"
"PF01602","Adaptin N terminal region","18/34399 | 2/884","0.07695","0.3207"
"PF00291","Pyridoxal-phosphate dependent enzyme","19/34399 | 2/884","0.08458","0.3322"
"PF00447","HSF-type DNA-binding","19/34399 | 2/884","0.08458","0.3322"
"PF00704","Glycosyl hydrolases family 18","19/34399 | 2/884","0.08458","0.3322"
"PF01293","Phosphoenolpyruvate carboxykinase","19/34399 | 2/884","0.08458","0.3322"
"PF00326","Prolyl oligopeptidase family","19/34399 | 2/884","0.08458","0.3322"
"PF01657","Salt stress response/antifungal","236/34399 | 10/884","0.08503","0.3322"
"PF01852","START domain","20/34399 | 2/884","0.09243","0.3322"
"PF00091","Tubulin/FtsZ family, GTPase domain","42/34399 | 3/884","0.09294","0.3322"
"PF12436","ICP0-binding domain of Ubiquitin-specific protease 7","4/34399 | 1/884","0.09890","0.3322"
"PF04172","LrgB-like family","4/34399 | 1/884","0.09890","0.3322"
"PF01025","GrpE","4/34399 | 1/884","0.09890","0.3322"
"PF00390","Malic enzyme, N-terminal domain","4/34399 | 1/884","0.09890","0.3322"
"PF06966","Protein of unknown function (DUF1295)","4/34399 | 1/884","0.09890","0.3322"
"PF11960","Domain of unknown function (DUF3474)","4/34399 | 1/884","0.09890","0.3322"
"PF07817","GLE1-like protein","4/34399 | 1/884","0.09890","0.3322"
"PF10408","Ubiquitin elongating factor core","4/34399 | 1/884","0.09890","0.3322"
"PF03969","AFG1-like ATPase","4/34399 | 1/884","0.09890","0.3322"
"PF02630","SCO1/SenC","4/34399 | 1/884","0.09890","0.3322"
"PF01250","Ribosomal protein S6","4/34399 | 1/884","0.09890","0.3322"
"PF01321","Creatinase/Prolidase N-terminal domain","4/34399 | 1/884","0.09890","0.3322"
"PF01693","Caulimovirus viroplasmin","4/34399 | 1/884","0.09890","0.3322"
"PF01940","Integral membrane protein DUF92","4/34399 | 1/884","0.09890","0.3322"
"PF02880","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III","4/34399 | 1/884","0.09890","0.3322"
"PF03572","Peptidase family S41","4/34399 | 1/884","0.09890","0.3322"
"PF00705","Proliferating cell nuclear antigen, N-terminal domain","4/34399 | 1/884","0.09890","0.3322"
"PF10033","Autophagy-related protein 13","4/34399 | 1/884","0.09890","0.3322"
"PF04111","Autophagy protein Apg6","4/34399 | 1/884","0.09890","0.3322"
"PF07646","Kelch motif","4/34399 | 1/884","0.09890","0.3322"
"PF01331","mRNA capping enzyme, catalytic domain","4/34399 | 1/884","0.09890","0.3322"
"PF12352","Snare region anchored in the vesicle membrane C-terminus","4/34399 | 1/884","0.09890","0.3322"
"PF06045","Rhamnogalacturonate lyase family","4/34399 | 1/884","0.09890","0.3322"
"PF15247","Histone RNA hairpin-binding protein RNA-binding domain","4/34399 | 1/884","0.09890","0.3322"
"PF02891","MIZ/SP-RING zinc finger","4/34399 | 1/884","0.09890","0.3322"
"PF00098","Zinc knuckle","44/34399 | 3/884","0.1034","0.3452"
"PF08241","Methyltransferase domain","45/34399 | 3/884","0.1087","0.3502"
"PF13193","AMP-binding enzyme C-terminal domain","46/34399 | 3/884","0.1142","0.3502"
"PF14432","DYW family of nucleic acid deaminases","481/34399 | 17/884","0.1176","0.3502"
"PF03106","WRKY DNA -binding domain","73/34399 | 4/884","0.1185","0.3502"
"PF00230","Major intrinsic protein","73/34399 | 4/884","0.1185","0.3502"
"PF12819","Carbohydrate-binding protein of the ER","101/34399 | 5/884","0.1191","0.3502"
"PF00316","Fructose-1-6-bisphosphatase, N-terminal domain","5/34399 | 1/884","0.1221","0.3502"
"PF14533","Ubiquitin-specific protease C-terminal","5/34399 | 1/884","0.1221","0.3502"
"PF01433","Peptidase family M1 domain","5/34399 | 1/884","0.1221","0.3502"
"PF00477","Small hydrophilic plant seed protein","5/34399 | 1/884","0.1221","0.3502"
"PF04278","Tic22-like family","5/34399 | 1/884","0.1221","0.3502"
"PF05495","CHY zinc finger","5/34399 | 1/884","0.1221","0.3502"
"PF03368","Dicer dimerisation domain","5/34399 | 1/884","0.1221","0.3502"
"PF07798","Protein of unknown function (DUF1640)","5/34399 | 1/884","0.1221","0.3502"
"PF04615","Utp14 protein","5/34399 | 1/884","0.1221","0.3502"
"PF07534","TLD","5/34399 | 1/884","0.1221","0.3502"
"PF01120","Alpha-L-fucosidase","5/34399 | 1/884","0.1221","0.3502"
"PF09416","RNA helicase (UPF2 interacting domain)","5/34399 | 1/884","0.1221","0.3502"
"PF02878","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I","5/34399 | 1/884","0.1221","0.3502"
"PF13692","Glycosyl transferases group 1","5/34399 | 1/884","0.1221","0.3502"
"PF16891","Serine-threonine protein phosphatase N-terminal domain","5/34399 | 1/884","0.1221","0.3502"
"PF00479","Glucose-6-phosphate dehydrogenase, NAD binding domain","5/34399 | 1/884","0.1221","0.3502"
"PF09790","Hyccin","5/34399 | 1/884","0.1221","0.3502"
"PF04051","Transport protein particle (TRAPP) component","5/34399 | 1/884","0.1221","0.3502"
"PF06217","GAGA binding protein-like family","5/34399 | 1/884","0.1221","0.3502"
"PF11833","Protein CHAPERONE-LIKE PROTEIN OF POR1-like","5/34399 | 1/884","0.1221","0.3502"
"PF02270","Transcription initiation factor IIF, beta subunit","5/34399 | 1/884","0.1221","0.3502"
"PF01756","Acyl-CoA oxidase","5/34399 | 1/884","0.1221","0.3502"
"PF00069","Protein kinase domain","1251/34399 | 39/884","0.1253","0.3553"
"PF00628","PHD-finger","48/34399 | 3/884","0.1255","0.3553"
"PF00244","14-3-3 protein","24/34399 | 2/884","0.1257","0.3553"
"PF00800","Prephenate dehydratase","25/34399 | 2/884","0.1344","0.3687"
"PF00892","EamA-like transporter family","77/34399 | 4/884","0.1365","0.3687"
"PF01585","G-patch domain","50/34399 | 3/884","0.1371","0.3687"
"PF02990","Endomembrane protein 70","26/34399 | 2/884","0.1433","0.3687"
"PF11838","ERAP1-like C-terminal domain","6/34399 | 1/884","0.1446","0.3687"
"PF01169","Uncharacterized protein family UPF0016","6/34399 | 1/884","0.1446","0.3687"
"PF03134","TB2/DP1, HVA22 family","6/34399 | 1/884","0.1446","0.3687"
"PF00638","RanBP1 domain","6/34399 | 1/884","0.1446","0.3687"
"PF01925","Sulfite exporter TauE/SafE","6/34399 | 1/884","0.1446","0.3687"
"PF02375","jmjN domain","6/34399 | 1/884","0.1446","0.3687"
"PF02733","Dak1 domain","6/34399 | 1/884","0.1446","0.3687"
"PF12738","twin BRCT domain","6/34399 | 1/884","0.1446","0.3687"
"PF02817","e3 binding domain","6/34399 | 1/884","0.1446","0.3687"
"PF09335","SNARE associated Golgi protein","6/34399 | 1/884","0.1446","0.3687"
"PF10433","Mono-functional DNA-alkylating methyl methanesulfonate N-term","6/34399 | 1/884","0.1446","0.3687"
"PF09258","Glycosyl transferase family 64 domain","6/34399 | 1/884","0.1446","0.3687"
"PF15787","Domain of unknown function (DUF4704)","6/34399 | 1/884","0.1446","0.3687"
"PF01834","XRCC1 N terminal domain","6/34399 | 1/884","0.1446","0.3687"
"PF02666","Phosphatidylserine decarboxylase","6/34399 | 1/884","0.1446","0.3687"
"PF00324","Amino acid permease","6/34399 | 1/884","0.1446","0.3687"
"PF02803","Thiolase, C-terminal domain","6/34399 | 1/884","0.1446","0.3687"
"PF07876","Stress responsive A/B Barrel Domain","6/34399 | 1/884","0.1446","0.3687"
"PF02519","Auxin responsive protein","140/34399 | 6/884","0.1526","0.3867"
"PF03031","NLI interacting factor-like phosphatase","28/34399 | 2/884","0.1613","0.3867"
"PF16656","Purple acid Phosphatase, N-terminal domain","28/34399 | 2/884","0.1613","0.3867"
"PF07724","AAA domain (Cdc48 subfamily)","28/34399 | 2/884","0.1613","0.3867"
"PF05057","Putative serine esterase (DUF676)","7/34399 | 1/884","0.1666","0.3867"
"PF13943","WPP domain","7/34399 | 1/884","0.1666","0.3867"
"PF00121","Triosephosphate isomerase","7/34399 | 1/884","0.1666","0.3867"
"PF16987","KIX domain","7/34399 | 1/884","0.1666","0.3867"
"PF11250","Fantastic Four meristem regulator","7/34399 | 1/884","0.1666","0.3867"
"PF12222","Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A","7/34399 | 1/884","0.1666","0.3867"
"PF00536","SAM domain (Sterile alpha motif)","7/34399 | 1/884","0.1666","0.3867"
"PF01728","FtsJ-like methyltransferase","7/34399 | 1/884","0.1666","0.3867"
"PF16191","Ubiquitin-activating enzyme E1 four-helix bundle","7/34399 | 1/884","0.1666","0.3867"
"PF00364","Biotin-requiring enzyme","7/34399 | 1/884","0.1666","0.3867"
"PF15699","NPR1 interacting","7/34399 | 1/884","0.1666","0.3867"
"PF10533","Plant zinc cluster domain","7/34399 | 1/884","0.1666","0.3867"
"PF04526","Protein of unknown function (DUF568)","7/34399 | 1/884","0.1666","0.3867"
"PF07279","Protein of unknown function (DUF1442)","7/34399 | 1/884","0.1666","0.3867"
"PF05055","Protein of unknown function (DUF677)","7/34399 | 1/884","0.1666","0.3867"
"PF00406","Adenylate kinase","7/34399 | 1/884","0.1666","0.3867"
"PF02259","FAT domain","7/34399 | 1/884","0.1666","0.3867"
"PF07766","LETM1-like protein","7/34399 | 1/884","0.1666","0.3867"
"PF03107","C1 domain","30/34399 | 2/884","0.1797","0.4052"
"PF01596","O-methyltransferase","30/34399 | 2/884","0.1797","0.4052"
"PF00564","PB1 domain","30/34399 | 2/884","0.1797","0.4052"
"PF05542","Protein of unknown function (DUF760)","8/34399 | 1/884","0.1880","0.4052"
"PF05970","PIF1-like helicase","8/34399 | 1/884","0.1880","0.4052"
"PF16845","Aspartic acid proteinase inhibitor","8/34399 | 1/884","0.1880","0.4052"
"PF00425","chorismate binding enzyme","8/34399 | 1/884","0.1880","0.4052"
"PF09358","Ubiquitin fold domain","8/34399 | 1/884","0.1880","0.4052"
"PF03949","Malic enzyme, NAD binding domain","8/34399 | 1/884","0.1880","0.4052"
"PF00890","FAD binding domain","8/34399 | 1/884","0.1880","0.4052"
"PF05116","Sucrose-6F-phosphate phosphohydrolase","8/34399 | 1/884","0.1880","0.4052"
"PF00206","Lyase","8/34399 | 1/884","0.1880","0.4052"
"PF04727","ELMO/CED-12 family","8/34399 | 1/884","0.1880","0.4052"
"PF00331","Glycosyl hydrolase family 10","8/34399 | 1/884","0.1880","0.4052"
"PF00464","Serine hydroxymethyltransferase","8/34399 | 1/884","0.1880","0.4052"
"PF02493","MORN repeat","8/34399 | 1/884","0.1880","0.4052"
"PF00191","Annexin","8/34399 | 1/884","0.1880","0.4052"
"PF01163","RIO1 family","8/34399 | 1/884","0.1880","0.4052"
"PF06645","Microsomal signal peptidase 12 kDa subunit (SPC12)","8/34399 | 1/884","0.1880","0.4052"
"PF12854","PPR repeat","422/34399 | 14/884","0.2008","0.4215"
"PF00004","ATPase family associated with various cellular activities (AAA)","153/34399 | 6/884","0.2018","0.4215"
"PF00931","NB-ARC domain","669/34399 | 21/884","0.2034","0.4215"
"PF00664","ABC transporter transmembrane region","91/34399 | 4/884","0.2066","0.4215"
"PF08414","Respiratory burst NADPH oxidase","9/34399 | 1/884","0.2089","0.4215"
"PF01652","Eukaryotic initiation factor 4E","9/34399 | 1/884","0.2089","0.4215"
"PF00635","MSP (Major sperm protein) domain","9/34399 | 1/884","0.2089","0.4215"
"PF01794","Ferric reductase like transmembrane component","9/34399 | 1/884","0.2089","0.4215"
"PF04055","Radical SAM superfamily","9/34399 | 1/884","0.2089","0.4215"
"PF10557","Cullin protein neddylation domain","9/34399 | 1/884","0.2089","0.4215"
"PF05761","5 nucleotidase family","9/34399 | 1/884","0.2089","0.4215"
"PF02037","SAP domain","9/34399 | 1/884","0.2089","0.4215"
"PF02466","Tim17/Tim22/Tim23/Pmp24 family","9/34399 | 1/884","0.2089","0.4215"
"PF00917","MATH domain","9/34399 | 1/884","0.2089","0.4215"
"PF07800","Protein of unknown function (DUF1644)","9/34399 | 1/884","0.2089","0.4215"
"PF11820","Protein of unknown function (DUF3339)","9/34399 | 1/884","0.2089","0.4215"
"PF05637","galactosyl transferase GMA12/MNN10 family","9/34399 | 1/884","0.2089","0.4215"
"PF12678","RING-H2 zinc finger domain","9/34399 | 1/884","0.2089","0.4215"
"PF00005","ABC transporter","221/34399 | 8/884","0.2104","0.4230"
"PF08276","PAN-like domain","34/34399 | 2/884","0.2173","0.4353"
"PF02298","Plastocyanin-like domain","63/34399 | 3/884","0.2202","0.4378"
"PF01073","3-beta hydroxysteroid dehydrogenase/isomerase family","35/34399 | 2/884","0.2268","0.4378"
"PF05701","Weak chloroplast movement under blue light","10/34399 | 1/884","0.2292","0.4378"
"PF00578","AhpC/TSA family","10/34399 | 1/884","0.2292","0.4378"
"PF13857","Ankyrin repeats (many copies)","10/34399 | 1/884","0.2292","0.4378"
"PF13962","Domain of unknown function","10/34399 | 1/884","0.2292","0.4378"
"PF03105","SPX domain","10/34399 | 1/884","0.2292","0.4378"
"PF04504","Protein of unknown function, DUF573","10/34399 | 1/884","0.2292","0.4378"
"PF12609","Wound-induced protein","10/34399 | 1/884","0.2292","0.4378"
"PF13302","Acetyltransferase (GNAT) domain","10/34399 | 1/884","0.2292","0.4378"
"PF03080","Neprosin","10/34399 | 1/884","0.2292","0.4378"
"PF08030","Ferric reductase NAD binding domain","10/34399 | 1/884","0.2292","0.4378"
"PF03405","Fatty acid desaturase","10/34399 | 1/884","0.2292","0.4378"
"PF01633","Choline/ethanolamine kinase","10/34399 | 1/884","0.2292","0.4378"
"PF14364","Domain of unknown function (DUF4408)","11/34399 | 1/884","0.2491","0.4558"
"PF05687","BES1/BZR1 plant transcription factor, N-terminal","11/34399 | 1/884","0.2491","0.4558"
"PF00670","S-adenosyl-L-homocysteine hydrolase, NAD binding domain","11/34399 | 1/884","0.2491","0.4558"
"PF04193","PQ loop repeat","11/34399 | 1/884","0.2491","0.4558"
"PF00334","Nucleoside diphosphate kinase","11/34399 | 1/884","0.2491","0.4558"
"PF13460","NAD(P)H-binding","11/34399 | 1/884","0.2491","0.4558"
"PF00512","His Kinase A (phospho-acceptor) domain","11/34399 | 1/884","0.2491","0.4558"
"PF07847","PCO_ADO","11/34399 | 1/884","0.2491","0.4558"
"PF05564","Dormancy/auxin associated protein","11/34399 | 1/884","0.2491","0.4558"
"PF03087","Arabidopsis protein of unknown function","11/34399 | 1/884","0.2491","0.4558"
"PF09739","Mini-chromosome maintenance replisome factor","11/34399 | 1/884","0.2491","0.4558"
"PF03178","CPSF A subunit region","11/34399 | 1/884","0.2491","0.4558"
"PF03763","Remorin, C-terminal region","11/34399 | 1/884","0.2491","0.4558"
"PF00657","GDSL-like Lipase/Acylhydrolase","99/34399 | 4/884","0.2504","0.4569"
"PF02309","AUX/IAA family","38/34399 | 2/884","0.2555","0.4631"
"PF07983","X8 domain","38/34399 | 2/884","0.2555","0.4631"
"PF00149","Calcineurin-like phosphoesterase","69/34399 | 3/884","0.2613","0.4700"
"PF03330","Lytic transglycolase","69/34399 | 3/884","0.2613","0.4700"
"PF10358","N-terminal C2 in EEIG1 and EHBP1 proteins","12/34399 | 1/884","0.2684","0.4700"
"PF00696","Amino acid kinase family","12/34399 | 1/884","0.2684","0.4700"
"PF01529","DHHC palmitoyltransferase","12/34399 | 1/884","0.2684","0.4700"
"PF03468","XS domain","12/34399 | 1/884","0.2684","0.4700"
"PF00636","Ribonuclease III domain","12/34399 | 1/884","0.2684","0.4700"
"PF01380","SIS domain","12/34399 | 1/884","0.2684","0.4700"
"PF03188","Eukaryotic cytochrome b561","12/34399 | 1/884","0.2684","0.4700"
"PF01918","Alba","12/34399 | 1/884","0.2684","0.4700"
"PF02140","Galactose binding lectin domain","12/34399 | 1/884","0.2684","0.4700"
"PF13516","Leucine Rich repeat","103/34399 | 4/884","0.2731","0.4769"
