"ID","Description","Statistics","P-value","q-value"
"PF12313","NPR1/NIM1 like defence protein C terminal","4/34399 | 2/465","0.001075","0.1760"
"PF01169","Uncharacterized protein family UPF0016","6/34399 | 1/465","0.07842","0.2186"
"PF01195","Peptidyl-tRNA hydrolase","6/34399 | 1/465","0.07842","0.2186"
"PF10433","Mono-functional DNA-alkylating methyl methanesulfonate N-term","6/34399 | 1/465","0.07842","0.2186"
"PF10513","Enhancer of polycomb-like","6/34399 | 1/465","0.07842","0.2186"
"PF01814","Hemerythrin HHE cation binding domain","6/34399 | 1/465","0.07842","0.2186"
"PF00139","Legume lectin domain","122/34399 | 4/465","0.08406","0.2271"
"PF11891","Protein RETICULATA-related","7/34399 | 1/465","0.09088","0.2271"
"PF03641","Possible lysine decarboxylase","7/34399 | 1/465","0.09088","0.2271"
"PF02728","Copper amine oxidase, N3 domain","7/34399 | 1/465","0.09088","0.2271"
"PF01077","Nitrite and sulphite reductase 4Fe-4S domain","7/34399 | 1/465","0.09088","0.2271"
"PF13361","UvrD-like helicase C-terminal domain","7/34399 | 1/465","0.09088","0.2271"
"PF15365","Proline-rich nuclear receptor coactivator motif","7/34399 | 1/465","0.09088","0.2271"
"PF00637","Region in Clathrin and VPS","7/34399 | 1/465","0.09088","0.2271"
"PF03725","3 exoribonuclease family, domain 2","7/34399 | 1/465","0.09088","0.2271"
"PF02727","Copper amine oxidase, N2 domain","7/34399 | 1/465","0.09088","0.2271"
"PF00364","Biotin-requiring enzyme","7/34399 | 1/465","0.09088","0.2271"
"PF08880","QLQ","7/34399 | 1/465","0.09088","0.2271"
"PF05347","Complex 1 protein (LYR family)","7/34399 | 1/465","0.09088","0.2271"
"PF00231","ATP synthase","7/34399 | 1/465","0.09088","0.2271"
"PF01453","D-mannose binding lectin","79/34399 | 3/465","0.09174","0.2271"
"PF00582","Universal stress protein family","79/34399 | 3/465","0.09174","0.2271"
"PF02309","AUX/IAA family","38/34399 | 2/465","0.09327","0.2293"
"PF00010","Helix-loop-helix DNA-binding domain","129/34399 | 4/465","0.09816","0.2341"
"PF00162","Phosphoglycerate kinase","8/34399 | 1/465","0.1032","0.2341"
"PF04727","ELMO/CED-12 family","8/34399 | 1/465","0.1032","0.2341"
"PF03271","EB1-like C-terminal motif","8/34399 | 1/465","0.1032","0.2341"
"PF04042","DNA polymerase alpha/epsilon subunit B","8/34399 | 1/465","0.1032","0.2341"
"PF07748","Glycosyl hydrolases family 38 C-terminal domain","8/34399 | 1/465","0.1032","0.2341"
"PF03069","Acetamidase/Formamidase family","8/34399 | 1/465","0.1032","0.2341"
"PF02229","Transcriptional Coactivator p15 (PC4)","8/34399 | 1/465","0.1032","0.2341"
"PF02897","Prolyl oligopeptidase, N-terminal beta-propeller domain","8/34399 | 1/465","0.1032","0.2341"
"PF03949","Malic enzyme, NAD binding domain","8/34399 | 1/465","0.1032","0.2341"
"PF00181","Ribosomal Proteins L2, RNA binding domain","8/34399 | 1/465","0.1032","0.2341"
"PF12710","haloacid dehalogenase-like hydrolase","8/34399 | 1/465","0.1032","0.2341"
"PF00011","Hsp20/alpha crystallin family","86/34399 | 3/465","0.1111","0.2489"
"PF00227","Proteasome subunit","43/34399 | 2/465","0.1147","0.2489"
"PF02463","RecF/RecN/SMC N terminal domain","9/34399 | 1/465","0.1153","0.2489"
"PF05637","galactosyl transferase GMA12/MNN10 family","9/34399 | 1/465","0.1153","0.2489"
"PF02127","Aminopeptidase I zinc metalloprotease (M18)","9/34399 | 1/465","0.1153","0.2489"
"PF00635","MSP (Major sperm protein) domain","9/34399 | 1/465","0.1153","0.2489"
"PF16275","Splicing factor 1 helix-hairpin domain","9/34399 | 1/465","0.1153","0.2489"
"PF03219","TLC ATP/ADP transporter","9/34399 | 1/465","0.1153","0.2489"
"PF00082","Subtilase family","89/34399 | 3/465","0.1198","0.2560"
"PF06974","Protein of unknown function (DUF1298)","45/34399 | 2/465","0.1237","0.2560"
"PF01474","Class-II DAHP synthetase family","10/34399 | 1/465","0.1273","0.2560"
"PF02784","Pyridoxal-dependent decarboxylase, pyridoxal binding domain","10/34399 | 1/465","0.1273","0.2560"
"PF01504","Phosphatidylinositol-4-phosphate 5-Kinase","10/34399 | 1/465","0.1273","0.2560"
"PF03080","Neprosin","10/34399 | 1/465","0.1273","0.2560"
"PF02201","SWIB/MDM2 domain","10/34399 | 1/465","0.1273","0.2560"
"PF03059","Nicotianamine synthase protein","10/34399 | 1/465","0.1273","0.2560"
"PF03405","Fatty acid desaturase","10/34399 | 1/465","0.1273","0.2560"
"PF13923","Zinc finger, C3HC4 type (RING finger)","10/34399 | 1/465","0.1273","0.2560"
"PF02446","4-alpha-glucanotransferase","10/34399 | 1/465","0.1273","0.2560"
"PF04504","Protein of unknown function, DUF573","10/34399 | 1/465","0.1273","0.2560"
"PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","254/34399 | 6/465","0.1316","0.2632"
"PF02458","Transferase family","200/34399 | 5/465","0.1357","0.2690"
"PF00488","MutS domain V","11/34399 | 1/465","0.1391","0.2690"
"PF08613","Cyclin","11/34399 | 1/465","0.1391","0.2690"
"PF13450","NAD(P)-binding Rossmann-like domain","11/34399 | 1/465","0.1391","0.2690"
"PF02780","Transketolase, C-terminal domain","11/34399 | 1/465","0.1391","0.2690"
"PF03178","CPSF A subunit region","11/34399 | 1/465","0.1391","0.2690"
"PF02496","ABA/WDS induced protein","49/34399 | 2/465","0.1420","0.2731"
"PF00675","Insulinase (Peptidase family M16)","12/34399 | 1/465","0.1507","0.2823"
"PF01179","Copper amine oxidase, enzyme domain","12/34399 | 1/465","0.1507","0.2823"
"PF03446","NAD binding domain of 6-phosphogluconate dehydrogenase","12/34399 | 1/465","0.1507","0.2823"
"PF14383","DUF761-associated sequence motif","12/34399 | 1/465","0.1507","0.2823"
"PF01055","Glycosyl hydrolases family 31","12/34399 | 1/465","0.1507","0.2823"
"PF13812","Pentatricopeptide repeat domain","156/34399 | 4/465","0.1615","0.2975"
"PF00238","Ribosomal protein L14p/L23e","13/34399 | 1/465","0.1622","0.2975"
"PF00036","EF hand","13/34399 | 1/465","0.1622","0.2975"
"PF06830","Root cap","13/34399 | 1/465","0.1622","0.2975"
"PF01565","FAD binding domain","54/34399 | 2/465","0.1655","0.3021"
"PF00069","Protein kinase domain","1251/34399 | 21/465","0.1830","0.3224"
"PF01679","Proteolipid membrane potential modulator","15/34399 | 1/465","0.1847","0.3224"
"PF00520","Ion transport protein","15/34399 | 1/465","0.1847","0.3224"
"PF05183","RNA dependent RNA polymerase","15/34399 | 1/465","0.1847","0.3224"
"PF03735","ENT domain","15/34399 | 1/465","0.1847","0.3224"
"PF02779","Transketolase, pyrimidine binding domain","15/34399 | 1/465","0.1847","0.3224"
"PF00909","Ammonium Transporter Family","15/34399 | 1/465","0.1847","0.3224"
"PF03110","SBP domain","15/34399 | 1/465","0.1847","0.3224"
"PF00248","Aldo/keto reductase family","58/34399 | 2/465","0.1849","0.3224"
"PF14226","non-haem dioxygenase in morphine synthesis N-terminal","167/34399 | 4/465","0.1907","0.3309"
"PF13178","Protein of unknown function (DUF4005)","16/34399 | 1/465","0.1957","0.3331"
"PF06814","Lung seven transmembrane receptor","16/34399 | 1/465","0.1957","0.3331"
"PF00928","Adaptor complexes medium subunit family","16/34399 | 1/465","0.1957","0.3331"
"PF07002","Copine","16/34399 | 1/465","0.1957","0.3331"
"PF00646","F-box domain","171/34399 | 4/465","0.2017","0.3416"
"PF03141","Putative S-adenosyl-L-methionine-dependent methyltransferase","62/34399 | 2/465","0.2045","0.3434"
"PF00251","Glycosyl hydrolases family 32 N-terminal domain","17/34399 | 1/465","0.2066","0.3434"
"PF07939","Protein of unknown function (DUF1685)","17/34399 | 1/465","0.2066","0.3434"
"PF00493","MCM2/3/5 family","17/34399 | 1/465","0.2066","0.3434"
"PF12854","PPR repeat","422/34399 | 8/465","0.2142","0.3544"
"PF10354","Domain of unknown function (DUF2431)","18/34399 | 1/465","0.2173","0.3545"
"PF06507","Auxin response factor","18/34399 | 1/465","0.2173","0.3545"
"PF01602","Adaptin N terminal region","18/34399 | 1/465","0.2173","0.3545"
"PF01344","Kelch motif","121/34399 | 3/465","0.2251","0.3651"
"PF00307","Calponin homology (CH) domain","19/34399 | 1/465","0.2279","0.3651"
"PF00447","HSF-type DNA-binding","19/34399 | 1/465","0.2279","0.3651"
"PF01485","IBR domain, a half RING-finger domain","19/34399 | 1/465","0.2279","0.3651"
"PF12796","Ankyrin repeats (3 copies)","67/34399 | 2/465","0.2293","0.3657"
"PF04765","Protein of unknown function (DUF616)","20/34399 | 1/465","0.2384","0.3732"
"PF02800","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain","20/34399 | 1/465","0.2384","0.3732"
"PF08246","Cathepsin propeptide inhibitor domain (I29)","20/34399 | 1/465","0.2384","0.3732"
"PF00149","Calcineurin-like phosphoesterase","69/34399 | 2/465","0.2393","0.3732"
"PF03330","Lytic transglycolase","69/34399 | 2/465","0.2393","0.3732"
"PF01423","LSM domain","21/34399 | 1/465","0.2487","0.3794"
"PF08879","WRC","21/34399 | 1/465","0.2487","0.3794"
"PF04408","Helicase associated domain (HA2)","21/34399 | 1/465","0.2487","0.3794"
"PF01553","Acyltransferase","21/34399 | 1/465","0.2487","0.3794"
"PF14215","bHLH-MYC and R2R3-MYB transcription factors N-terminal","21/34399 | 1/465","0.2487","0.3794"
"PF14009","Domain of unknown function (DUF4228)","129/34399 | 3/465","0.2538","0.3856"
"PF02453","Reticulon","22/34399 | 1/465","0.2588","0.3899"
"PF00195","Chalcone and stilbene synthases, N-terminal domain","22/34399 | 1/465","0.2588","0.3899"
"PF00225","Kinesin motor domain","74/34399 | 2/465","0.2643","0.3965"
"PF00583","Acetyltransferase (GNAT) family","24/34399 | 1/465","0.2787","0.4146"
"PF00350","Dynamin family","24/34399 | 1/465","0.2787","0.4146"
"PF00044","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain","25/34399 | 1/465","0.2885","0.4273"
"PF13639","Ring finger domain","266/34399 | 5/465","0.2919","0.4306"
"PF02990","Endomembrane protein 70","26/34399 | 1/465","0.2981","0.4308"
"PF14223","gag-polypeptide of LTR copia-type","26/34399 | 1/465","0.2981","0.4308"
"PF13181","Tetratricopeptide repeat","26/34399 | 1/465","0.2981","0.4308"
"PF00407","Pathogenesis-related protein Bet v I family","26/34399 | 1/465","0.2981","0.4308"
"PF02854","MIF4G domain","26/34399 | 1/465","0.2981","0.4308"
"PF01476","LysM domain","27/34399 | 1/465","0.3076","0.4391"
"PF03767","HAD superfamily, subfamily IIIB (Acid phosphatase)","27/34399 | 1/465","0.3076","0.4391"
"PF00534","Glycosyl transferases group 1","27/34399 | 1/465","0.3076","0.4391"
"PF03031","NLI interacting factor-like phosphatase","28/34399 | 1/465","0.3170","0.4471"
"PF07724","AAA domain (Cdc48 subfamily)","28/34399 | 1/465","0.3170","0.4471"
"PF02364","1,3-beta-glucan synthase component","28/34399 | 1/465","0.3170","0.4471"
"PF14543","Xylanase inhibitor N-terminal","148/34399 | 3/465","0.3235","0.4544"
"PF01190","Pollen proteins Ole e I like","29/34399 | 1/465","0.3262","0.4565"
"PF14541","Xylanase inhibitor C-terminal","151/34399 | 3/465","0.3346","0.4583"
"PF04535","Domain of unknown function (DUF588)","30/34399 | 1/465","0.3353","0.4583"
"PF00564","PB1 domain","30/34399 | 1/465","0.3353","0.4583"
"PF04770","ZF-HD protein dimerisation region","30/34399 | 1/465","0.3353","0.4583"
"PF01596","O-methyltransferase","30/34399 | 1/465","0.3353","0.4583"
"PF17177","Pentacotripeptide-repeat region of PRORP","30/34399 | 1/465","0.3353","0.4583"
"PF16211","C-terminus of histone H2A","31/34399 | 1/465","0.3443","0.4635"
"PF00035","Double-stranded RNA binding motif","31/34399 | 1/465","0.3443","0.4635"
"PF03007","Wax ester synthase-like Acyl-CoA acyltransferase domain","31/34399 | 1/465","0.3443","0.4635"
"PF07250","Glyoxal oxidase N-terminus","31/34399 | 1/465","0.3443","0.4635"
"PF00005","ABC transporter","221/34399 | 4/465","0.3499","0.4692"
"PF00612","IQ calmodulin-binding motif","32/34399 | 1/465","0.3532","0.4700"
"PF13833","EF-hand domain pair","32/34399 | 1/465","0.3532","0.4700"
"PF03081","Exo70 exocyst complex subunit","33/34399 | 1/465","0.3620","0.4763"
"PF00118","TCP-1/cpn60 chaperonin family","33/34399 | 1/465","0.3620","0.4763"
"PF03931","Skp1 family, tetramerisation domain","33/34399 | 1/465","0.3620","0.4763"
"PF00332","Glycosyl hydrolases family 17","94/34399 | 2/465","0.3635","0.4766"
"PF00125","Core histone H2A/H2B/H3/H4","95/34399 | 2/465","0.3684","0.4805"
"PF00538","linker histone H1 and H5 family","34/34399 | 1/465","0.3706","0.4805"
"PF01094","Receptor family ligand binding region","34/34399 | 1/465","0.3706","0.4805"
"PF00071","Ras family","96/34399 | 2/465","0.3732","0.4822"
"PF01073","3-beta hydroxysteroid dehydrogenase/isomerase family","35/34399 | 1/465","0.3791","0.4862"
"PF11744","Aluminium activated malate transporter","35/34399 | 1/465","0.3791","0.4862"
"PF08100","Dimerisation domain","37/34399 | 1/465","0.3958","0.5039"
"PF14416","PMR5 N terminal Domain","37/34399 | 1/465","0.3958","0.5039"
"PF05368","NmrA-like family","101/34399 | 2/465","0.3972","0.5039"
"PF00295","Glycosyl hydrolases family 28","38/34399 | 1/465","0.4040","0.5089"
"PF07983","X8 domain","38/34399 | 1/465","0.4040","0.5089"
"PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","40/34399 | 1/465","0.4200","0.5272"
"PF14111","Domain of unknown function (DUF4283)","41/34399 | 1/465","0.4278","0.5322"
"PF00847","AP2 domain","247/34399 | 4/465","0.4290","0.5322"
"PF03140","Plant protein of unknown function","108/34399 | 2/465","0.4300","0.5322"
"PF00168","C2 domain","108/34399 | 2/465","0.4300","0.5322"
"PF00091","Tubulin/FtsZ family, GTPase domain","42/34399 | 1/465","0.4356","0.5354"
"PF00176","SNF2 family N-terminal domain","42/34399 | 1/465","0.4356","0.5354"
"PF00098","Zinc knuckle","44/34399 | 1/465","0.4508","0.5483"
"PF01593","Flavin containing amine oxidoreductase","44/34399 | 1/465","0.4508","0.5483"
"PF00112","Papain family cysteine protease","44/34399 | 1/465","0.4508","0.5483"
"PF00854","POT family","113/34399 | 2/465","0.4528","0.5490"
"PF03171","2OG-Fe(II) oxygenase superfamily","187/34399 | 3/465","0.4646","0.5613"
"PF00642","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","48/34399 | 1/465","0.4799","0.5739"
"PF13839","GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p","48/34399 | 1/465","0.4799","0.5739"
"PF03514","GRAS domain family","48/34399 | 1/465","0.4799","0.5739"
"PF03016","Exostosin family","50/34399 | 1/465","0.4939","0.5887"
"PF02536","mTERF","125/34399 | 2/465","0.5054","0.6004"
"PF00443","Ubiquitin carboxyl-terminal hydrolase","52/34399 | 1/465","0.5075","0.6008"
"PF03168","Late embryogenesis abundant protein","53/34399 | 1/465","0.5142","0.6067"
"PF00182","Chitinase class I","54/34399 | 1/465","0.5207","0.6104"
"PF00759","Glycosyl hydrolase family 9","54/34399 | 1/465","0.5207","0.6104"
"PF05922","Peptidase inhibitor I9","57/34399 | 1/465","0.5399","0.6308"
"PF02362","B3 DNA binding domain","59/34399 | 1/465","0.5523","0.6411"
"PF06246","Isy1-like splicing family","59/34399 | 1/465","0.5523","0.6411"
"PF02519","Auxin responsive protein","140/34399 | 2/465","0.5664","0.6531"
"PF00271","Helicase conserved C-terminal domain","140/34399 | 2/465","0.5664","0.6531"
"PF00891","O-methyltransferase","62/34399 | 1/465","0.5703","0.6533"
"PF01397","Terpene synthase, N-terminal domain","62/34399 | 1/465","0.5703","0.6533"
"PF02298","Plastocyanin-like domain","63/34399 | 1/465","0.5761","0.6578"
"PF00481","Protein phosphatase 2C","143/34399 | 2/465","0.5779","0.6578"
"PF00155","Aminotransferase class I and II","66/34399 | 1/465","0.5931","0.6708"
"PF00013","KH domain","66/34399 | 1/465","0.5931","0.6708"
"PF14368","Probable lipid transfer","69/34399 | 1/465","0.6094","0.6870"
"PF03083","Sugar efflux transporter for intercellular exchange","70/34399 | 1/465","0.6147","0.6908"
"PF08240","Alcohol dehydrogenase GroES-like domain","71/34399 | 1/465","0.6199","0.6944"
"PF00046","Homeobox domain","72/34399 | 1/465","0.6250","0.6980"
"PF05699","hAT family C-terminal dimerisation region","73/34399 | 1/465","0.6301","0.6993"
"PF04043","Plant invertase/pectin methylesterase inhibitor","73/34399 | 1/465","0.6301","0.6993"
"PF00083","Sugar (and other) transporter","163/34399 | 2/465","0.6489","0.7143"
"PF00892","EamA-like transporter family","77/34399 | 1/465","0.6498","0.7143"
"PF12799","Leucine Rich repeats (2 copies)","77/34399 | 1/465","0.6498","0.7143"
"PF00232","Glycosyl hydrolase family 1","78/34399 | 1/465","0.6545","0.7158"
"PF07732","Multicopper oxidase","79/34399 | 1/465","0.6592","0.7158"
