ID,Description,Statistics,P-value,q-value
PF00076,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",337/34399 | 16/907,0.01794,0.2322
PF07859,alpha/beta hydrolase fold,81/34399 | 6/907,0.02018,0.2322
PF13041,PPR repeat family,1176/34399 | 43/907,0.02034,0.2322
PF05637,galactosyl transferase GMA12/MNN10 family,9/34399 | 2/907,0.02211,0.2322
PF15749,MRN-interacting protein,1/34399 | 1/907,0.02637,0.2322
PF01066,CDP-alcohol phosphatidyltransferase,1/34399 | 1/907,0.02637,0.2322
PF10914,Protein of unknown function (DUF2781),1/34399 | 1/907,0.02637,0.2322
PF11712,Endoplasmic reticulum-based factor for assembly of V-ATPase,1/34399 | 1/907,0.02637,0.2322
PF14493,Helix-turn-helix domain,1/34399 | 1/907,0.02637,0.2322
PF03167,Uracil DNA glycosylase superfamily,1/34399 | 1/907,0.02637,0.2322
PF10370,Domain of unknown function (DUF2437),1/34399 | 1/907,0.02637,0.2322
PF08574,Transcription factor Iwr1,1/34399 | 1/907,0.02637,0.2322
PF07297,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2),1/34399 | 1/907,0.02637,0.2322
PF14604,Variant SH3 domain,1/34399 | 1/907,0.02637,0.2322
PF16381,Coatomer subunit gamma-1 C-terminal appendage platform,1/34399 | 1/907,0.02637,0.2322
PF08524,rRNA processing,1/34399 | 1/907,0.02637,0.2322
PF12657,Transcription factor IIIC subunit delta N-term,1/34399 | 1/907,0.02637,0.2322
PF02873,"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain",1/34399 | 1/907,0.02637,0.2322
PF08351,Domain of unknown function (DUF1726),1/34399 | 1/907,0.02637,0.2322
PF04140,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,1/34399 | 1/907,0.02637,0.2322
PF12554,Mitotic-spindle organizing gamma-tubulin ring associated,1/34399 | 1/907,0.02637,0.2322
PF12646,Domain of unknown function (DUF3783),1/34399 | 1/907,0.02637,0.2322
PF09268,"Clathrin, heavy-chain linker",1/34399 | 1/907,0.02637,0.2322
PF16282,SANT/Myb-like domain of DAMP1,1/34399 | 1/907,0.02637,0.2322
PF10291,Muniscin C-terminal mu homology domain,1/34399 | 1/907,0.02637,0.2322
PF12460,RNAPII transcription regulator C-terminal,1/34399 | 1/907,0.02637,0.2322
PF05479,Photosystem I reaction centre subunit N (PSAN or PSI-N),1/34399 | 1/907,0.02637,0.2322
PF06421,GTP-binding protein LepA C-terminus,1/34399 | 1/907,0.02637,0.2322
PF08802,Cytochrome B6-F complex Fe-S subunit,1/34399 | 1/907,0.02637,0.2322
PF08268,F-box associated domain,1/34399 | 1/907,0.02637,0.2322
PF02774,"Semialdehyde dehydrogenase, dimerisation domain",1/34399 | 1/907,0.02637,0.2322
PF10561,Uncharacterised protein family UPF0565,1/34399 | 1/907,0.02637,0.2322
PF07207,Light regulated protein Lir1,1/34399 | 1/907,0.02637,0.2322
PF03671,Ubiquitin fold modifier 1 protein,1/34399 | 1/907,0.02637,0.2322
PF13570,PQQ-like domain,1/34399 | 1/907,0.02637,0.2322
PF08752,Coatomer gamma subunit appendage platform subdomain,1/34399 | 1/907,0.02637,0.2322
PF04551,GcpE protein,1/34399 | 1/907,0.02637,0.2322
PF13259,Protein of unknown function (DUF4050),1/34399 | 1/907,0.02637,0.2322
PF08648,Protein of unknown function (DUF1777),1/34399 | 1/907,0.02637,0.2322
PF11069,Protein of unknown function (DUF2870),1/34399 | 1/907,0.02637,0.2322
PF02446,4-alpha-glucanotransferase,10/34399 | 2/907,0.02716,0.2322
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase,10/34399 | 2/907,0.02716,0.2322
PF13857,Ankyrin repeats (many copies),10/34399 | 2/907,0.02716,0.2322
PF04504,"Protein of unknown function, DUF573",10/34399 | 2/907,0.02716,0.2322
PF00407,Pathogenesis-related protein Bet v I family,26/34399 | 3/907,0.03026,0.2506
PF03151,Triose-phosphate Transporter family,45/34399 | 4/907,0.03046,0.2506
PF00293,NUDIX domain,11/34399 | 2/907,0.03262,0.2506
PF04884,Vitamin B6 photo-protection and homoeostasis,11/34399 | 2/907,0.03262,0.2506
PF11834,"KHA, dimerisation domain of potassium ion channel",11/34399 | 2/907,0.03262,0.2506
PF13242,HAD-hyrolase-like,11/34399 | 2/907,0.03262,0.2506
PF00733,Asparagine synthase,11/34399 | 2/907,0.03262,0.2506
PF04788,Protein of unknown function (DUF620),11/34399 | 2/907,0.03262,0.2506
PF00149,Calcineurin-like phosphoesterase,69/34399 | 5/907,0.03551,0.2654
PF01529,DHHC palmitoyltransferase,12/34399 | 2/907,0.03847,0.2654
PF05664,Plant family of unknown function (DUF810),13/34399 | 2/907,0.04469,0.2654
PF00988,"Carbamoyl-phosphate synthase small chain, CPSase domain",2/34399 | 1/907,0.05204,0.2654
PF11805,Protein of unknown function (DUF3326),2/34399 | 1/907,0.05204,0.2654
PF08547,Complex I intermediate-associated protein 30 (CIA30),2/34399 | 1/907,0.05204,0.2654
PF04188,Mannosyltransferase (PIG-V),2/34399 | 1/907,0.05204,0.2654
PF04376,"Arginine-tRNA-protein transferase, N terminus",2/34399 | 1/907,0.05204,0.2654
PF08158,NUC130/3NT domain,2/34399 | 1/907,0.05204,0.2654
PF09296,NADH pyrophosphatase-like rudimentary NUDIX domain,2/34399 | 1/907,0.05204,0.2654
PF07650,KH domain,2/34399 | 1/907,0.05204,0.2654
PF01507,Phosphoadenosine phosphosulfate reductase family,2/34399 | 1/907,0.05204,0.2654
PF13386,Cytochrome C biogenesis protein transmembrane region,2/34399 | 1/907,0.05204,0.2654
PF05811,Eukaryotic protein of unknown function (DUF842),2/34399 | 1/907,0.05204,0.2654
PF04547,Calcium-activated chloride channel,2/34399 | 1/907,0.05204,0.2654
PF03091,CutA1 divalent ion tolerance protein,2/34399 | 1/907,0.05204,0.2654
PF05147,Lanthionine synthetase C-like protein,2/34399 | 1/907,0.05204,0.2654
PF12348,CLASP N terminal,2/34399 | 1/907,0.05204,0.2654
PF05148,Hypothetical methyltransferase,2/34399 | 1/907,0.05204,0.2654
PF09297,NADH pyrophosphatase zinc ribbon domain,2/34399 | 1/907,0.05204,0.2654
PF12231,Rap1-interacting factor 1 N terminal,2/34399 | 1/907,0.05204,0.2654
PF10241,Uncharacterized conserved protein,2/34399 | 1/907,0.05204,0.2654
PF13249,Squalene-hopene cyclase N-terminal domain,2/34399 | 1/907,0.05204,0.2654
PF07468,Agglutinin domain,2/34399 | 1/907,0.05204,0.2654
PF05142,Domain of unknown function (DUF702),2/34399 | 1/907,0.05204,0.2654
PF03175,"DNA polymerase type B, organellar and viral",2/34399 | 1/907,0.05204,0.2654
PF04601,Domain of unknown function (DUF569),2/34399 | 1/907,0.05204,0.2654
PF07160,Spindle and kinetochore-associated protein 1,2/34399 | 1/907,0.05204,0.2654
PF16420,Ubiquitin-like modifier-activating enzyme ATG7 N-terminus,2/34399 | 1/907,0.05204,0.2654
PF02581,Thiamine monophosphate synthase,2/34399 | 1/907,0.05204,0.2654
PF08543,Phosphomethylpyrimidine kinase,2/34399 | 1/907,0.05204,0.2654
PF02137,Adenosine-deaminase (editase) domain,2/34399 | 1/907,0.05204,0.2654
PF03224,V-ATPase subunit H,2/34399 | 1/907,0.05204,0.2654
PF17048,"Neutral/alkaline non-lysosomal ceramidase, C-terminal",2/34399 | 1/907,0.05204,0.2654
PF10152,Subunit CCDC53 of WASH complex,2/34399 | 1/907,0.05204,0.2654
PF06093,Spt4/RpoE2 zinc finger,2/34399 | 1/907,0.05204,0.2654
PF01454,MAGE family,2/34399 | 1/907,0.05204,0.2654
PF08029,"HisG, C-terminal domain",2/34399 | 1/907,0.05204,0.2654
PF05557,Mitotic checkpoint protein,2/34399 | 1/907,0.05204,0.2654
PF07722,Peptidase C26,2/34399 | 1/907,0.05204,0.2654
PF00759,Glycosyl hydrolase family 9,54/34399 | 4/907,0.05386,0.2724
PF00010,Helix-loop-helix DNA-binding domain,129/34399 | 7/907,0.05512,0.2765
PF00397,WW domain,15/34399 | 2/907,0.05812,0.28
PF04576,Zein-binding,15/34399 | 2/907,0.05812,0.28
PF00498,FHA domain,16/34399 | 2/907,0.06529,0.28
PF00023,Ankyrin repeat,16/34399 | 2/907,0.06529,0.28
PF00860,Permease family,16/34399 | 2/907,0.06529,0.28
PF07939,Protein of unknown function (DUF1685),17/34399 | 2/907,0.07273,0.28
PF17181,Epidermal patterning factor proteins,17/34399 | 2/907,0.07273,0.28
PF00027,Cyclic nucleotide-binding domain,17/34399 | 2/907,0.07273,0.28
PF14416,PMR5 N terminal Domain,37/34399 | 3/907,0.07328,0.28
PF01280,Ribosomal protein L19e,3/34399 | 1/907,0.07704,0.28
PF01134,Glucose inhibited division protein A,3/34399 | 1/907,0.07704,0.28
PF05207,CSL zinc finger,3/34399 | 1/907,0.07704,0.28
PF00215,Orotidine 5-phosphate decarboxylase / HUMPS family,3/34399 | 1/907,0.07704,0.28
PF07063,Domain of unknown function (DUF1338),3/34399 | 1/907,0.07704,0.28
PF01343,Peptidase family S49,3/34399 | 1/907,0.07704,0.28
PF14683,"Polysaccharide lyase family 4, domain III",3/34399 | 1/907,0.07704,0.28
PF03460,Nitrite/Sulfite reductase ferredoxin-like half domain,3/34399 | 1/907,0.07704,0.28
PF04367,Protein of unknown function (DUF502),3/34399 | 1/907,0.07704,0.28
PF05022,"SRP40, C-terminal domain",3/34399 | 1/907,0.07704,0.28
PF13301,Protein of unknown function (DUF4079),3/34399 | 1/907,0.07704,0.28
PF01777,Ribosomal L27e protein family,3/34399 | 1/907,0.07704,0.28
PF00736,EF-1 guanine nucleotide exchange domain,3/34399 | 1/907,0.07704,0.28
PF00024,PAN domain,3/34399 | 1/907,0.07704,0.28
PF05127,Helicase,3/34399 | 1/907,0.07704,0.28
PF06046,Exocyst complex component Sec6,3/34399 | 1/907,0.07704,0.28
PF00338,Ribosomal protein S10p/S20e,3/34399 | 1/907,0.07704,0.28
PF12330,Haspin like kinase domain,3/34399 | 1/907,0.07704,0.28
PF11957,THO complex subunit 1 transcription elongation factor,3/34399 | 1/907,0.07704,0.28
PF10075,CSN8/PSMD8/EIF3K family,3/34399 | 1/907,0.07704,0.28
PF02987,Late embryogenesis abundant protein,3/34399 | 1/907,0.07704,0.28
PF05817,Oligosaccharyltransferase subunit Ribophorin II,3/34399 | 1/907,0.07704,0.28
PF01885,"RNA 2-phosphotransferase, Tpt1 / KptA family",3/34399 | 1/907,0.07704,0.28
PF08628,Sorting nexin C terminal,3/34399 | 1/907,0.07704,0.28
PF02390,Putative methyltransferase,3/34399 | 1/907,0.07704,0.28
PF11987,Translation-initiation factor 2,3/34399 | 1/907,0.07704,0.28
PF03200,Glycosyl hydrolase family 63 C-terminal domain,3/34399 | 1/907,0.07704,0.28
PF09139,Mitochondrial matrix Mmp37,3/34399 | 1/907,0.07704,0.28
PF01131,DNA topoisomerase,3/34399 | 1/907,0.07704,0.28
PF00786,P21-Rho-binding domain,3/34399 | 1/907,0.07704,0.28
PF14749,Acyl-coenzyme A oxidase N-terminal,3/34399 | 1/907,0.07704,0.28
PF04545,"Sigma-70, region 4",3/34399 | 1/907,0.07704,0.28
PF07744,SPOC domain,3/34399 | 1/907,0.07704,0.28
PF17067,Ribosomal protein S31e,3/34399 | 1/907,0.07704,0.28
PF16399,Intron-binding protein aquarius N-terminus,3/34399 | 1/907,0.07704,0.28
PF08627,"CRT-like, chloroquine-resistance transporter-like",3/34399 | 1/907,0.07704,0.28
PF04096,Nucleoporin autopeptidase,3/34399 | 1/907,0.07704,0.28
PF07983,X8 domain,38/34399 | 3/907,0.07807,0.2821
PF01842,ACT domain,18/34399 | 2/907,0.08044,0.2872
PF07717,Oligonucleotide/oligosaccharide-binding (OB)-fold,18/34399 | 2/907,0.08044,0.2872
PF01501,Glycosyl transferase family 8,39/34399 | 3/907,0.08299,0.2946
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,40/34399 | 3/907,0.08805,0.3016
PF01485,"IBR domain, a half RING-finger domain",19/34399 | 2/907,0.08838,0.3016
PF00561,alpha/beta hydrolase fold,64/34399 | 4/907,0.08853,0.3016
PF14432,DYW family of nucleic acid deaminases,481/34399 | 18/907,0.08858,0.3016
PF12899,Alkaline and neutral invertase,20/34399 | 2/907,0.09655,0.3016
PF01053,Cys/Met metabolism PLP-dependent enzyme,20/34399 | 2/907,0.09655,0.3016
PF13292,1-deoxy-D-xylulose-5-phosphate synthase,4/34399 | 1/907,0.1014,0.3016
PF04802,Component of IIS longevity pathway SMK-1,4/34399 | 1/907,0.1014,0.3016
PF01170,Putative RNA methylase family UPF0020,4/34399 | 1/907,0.1014,0.3016
PF04377,"Arginine-tRNA-protein transferase, C terminus",4/34399 | 1/907,0.1014,0.3016
PF01780,Ribosomal L37ae protein family,4/34399 | 1/907,0.1014,0.3016
PF01866,Putative diphthamide synthesis protein,4/34399 | 1/907,0.1014,0.3016
PF16189,Creatinase/Prolidase N-terminal domain,4/34399 | 1/907,0.1014,0.3016
PF14365,Neprosin activation peptide,4/34399 | 1/907,0.1014,0.3016
PF00390,"Malic enzyme, N-terminal domain",4/34399 | 1/907,0.1014,0.3016
PF07647,SAM domain (Sterile alpha motif),4/34399 | 1/907,0.1014,0.3016
PF07522,DNA repair metallo-beta-lactamase,4/34399 | 1/907,0.1014,0.3016
PF05648,Peroxisomal biogenesis factor 11 (PEX11),4/34399 | 1/907,0.1014,0.3016
PF01321,Creatinase/Prolidase N-terminal domain,4/34399 | 1/907,0.1014,0.3016
PF03441,FAD binding domain of DNA photolyase,4/34399 | 1/907,0.1014,0.3016
PF09177,"Syntaxin 6, N-terminal",4/34399 | 1/907,0.1014,0.3016
PF01209,ubiE/COQ5 methyltransferase family,4/34399 | 1/907,0.1014,0.3016
PF00728,"Glycosyl hydrolase family 20, catalytic domain",4/34399 | 1/907,0.1014,0.3016
PF12263,Protein of unknown function (DUF3611),4/34399 | 1/907,0.1014,0.3016
PF07683,Cobalamin synthesis protein cobW C-terminal domain,4/34399 | 1/907,0.1014,0.3016
PF05450,Nicastrin,4/34399 | 1/907,0.1014,0.3016
PF07258,COMM domain,4/34399 | 1/907,0.1014,0.3016
PF12931,Sec23-binding domain of Sec16,4/34399 | 1/907,0.1014,0.3016
PF12643,MazG-like family,4/34399 | 1/907,0.1014,0.3016
PF01872,RibD C-terminal domain,4/34399 | 1/907,0.1014,0.3016
PF04539,Sigma-70 region 3,4/34399 | 1/907,0.1014,0.3016
PF04072,Leucine carboxyl methyltransferase,4/34399 | 1/907,0.1014,0.3016
PF02338,OTU-like cysteine protease,4/34399 | 1/907,0.1014,0.3016
PF00332,Glycosyl hydrolases family 17,94/34399 | 5/907,0.103,0.305
PF00227,Proteasome subunit,43/34399 | 3/907,0.1039,0.3062
PF01553,Acyltransferase,21/34399 | 2/907,0.1049,0.3062
PF02668,"Taurine catabolism dioxygenase TauD, TfdA family",21/34399 | 2/907,0.1049,0.3062
PF14541,Xylanase inhibitor C-terminal,151/34399 | 7/907,0.1055,0.3064
PF01593,Flavin containing amine oxidoreductase,44/34399 | 3/907,0.1095,0.3164
PF13812,Pentatricopeptide repeat domain,156/34399 | 7/907,0.1195,0.3203
PF13193,AMP-binding enzyme C-terminal domain,46/34399 | 3/907,0.1209,0.3203
PF06470,SMC proteins Flexible Hinge Domain,5/34399 | 1/907,0.1251,0.3203
PF05627,Cleavage site for pathogenic type III effector avirulence factor Avr,5/34399 | 1/907,0.1251,0.3203
PF00393,"6-phosphogluconate dehydrogenase, C-terminal domain",5/34399 | 1/907,0.1251,0.3203
PF01158,Ribosomal protein L36e,5/34399 | 1/907,0.1251,0.3203
PF04005,Hus1-like protein,5/34399 | 1/907,0.1251,0.3203
PF01634,ATP phosphoribosyltransferase,5/34399 | 1/907,0.1251,0.3203
PF02781,"Glucose-6-phosphate dehydrogenase, C-terminal domain",5/34399 | 1/907,0.1251,0.3203
PF10417,C-terminal domain of 1-Cys peroxiredoxin,5/34399 | 1/907,0.1251,0.3203
PF00370,"FGGY family of carbohydrate kinases, N-terminal domain",5/34399 | 1/907,0.1251,0.3203
PF02824,TGS domain,5/34399 | 1/907,0.1251,0.3203
PF02657,Fe-S metabolism associated domain,5/34399 | 1/907,0.1251,0.3203
PF00479,"Glucose-6-phosphate dehydrogenase, NAD binding domain",5/34399 | 1/907,0.1251,0.3203
PF04253,Transferrin receptor-like dimerisation domain,5/34399 | 1/907,0.1251,0.3203
PF03399,SAC3/GANP family,5/34399 | 1/907,0.1251,0.3203
PF00316,"Fructose-1-6-bisphosphatase, N-terminal domain",5/34399 | 1/907,0.1251,0.3203
PF01074,Glycosyl hydrolases family 38 N-terminal domain,5/34399 | 1/907,0.1251,0.3203
PF04851,"Type III restriction enzyme, res subunit",5/34399 | 1/907,0.1251,0.3203
PF06733,DEAD_2,5/34399 | 1/907,0.1251,0.3203
PF01480,PWI domain,5/34399 | 1/907,0.1251,0.3203
PF13671,AAA domain,5/34399 | 1/907,0.1251,0.3203
PF02542,YgbB family,5/34399 | 1/907,0.1251,0.3203
PF00804,Syntaxin,5/34399 | 1/907,0.1251,0.3203
PF01416,tRNA pseudouridine synthase,5/34399 | 1/907,0.1251,0.3203
PF00477,Small hydrophilic plant seed protein,5/34399 | 1/907,0.1251,0.3203
PF00213,ATP synthase delta (OSCP) subunit,5/34399 | 1/907,0.1251,0.3203
PF03106,WRKY DNA -binding domain,73/34399 | 4/907,0.1268,0.3235
PF05368,NmrA-like family,101/34399 | 5/907,0.1287,0.3269
PF00225,Kinesin motor domain,74/34399 | 4/907,0.1315,0.3325
PF13839,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p,48/34399 | 3/907,0.1327,0.3342
PF02496,ABA/WDS induced protein,49/34399 | 3/907,0.1387,0.3343
PF00892,EamA-like transporter family,77/34399 | 4/907,0.1458,0.3343
PF01357,Pollen allergen,77/34399 | 4/907,0.1458,0.3343
PF01169,Uncharacterized protein family UPF0016,6/34399 | 1/907,0.1481,0.3343
PF10433,Mono-functional DNA-alkylating methyl methanesulfonate N-term,6/34399 | 1/907,0.1481,0.3343
PF04560,"RNA polymerase Rpb2, domain 7",6/34399 | 1/907,0.1481,0.3343
PF14681,Uracil phosphoribosyltransferase,6/34399 | 1/907,0.1481,0.3343
PF09258,Glycosyl transferase family 64 domain,6/34399 | 1/907,0.1481,0.3343
PF13959,Domain of unknown function (DUF4217),6/34399 | 1/907,0.1481,0.3343
PF10513,Enhancer of polycomb-like,6/34399 | 1/907,0.1481,0.3343
PF16589,"BRCT domain, a BRCA1 C-terminus domain",6/34399 | 1/907,0.1481,0.3343
PF03134,"TB2/DP1, HVA22 family",6/34399 | 1/907,0.1481,0.3343
PF02782,"FGGY family of carbohydrate kinases, C-terminal domain",6/34399 | 1/907,0.1481,0.3343
PF01436,NHL repeat,6/34399 | 1/907,0.1481,0.3343
PF04438,HIT zinc finger,6/34399 | 1/907,0.1481,0.3343
PF00235,Profilin,6/34399 | 1/907,0.1481,0.3343
PF07765,KIP1-like protein,6/34399 | 1/907,0.1481,0.3343
PF01282,Ribosomal protein S24e,6/34399 | 1/907,0.1481,0.3343
PF12738,twin BRCT domain,6/34399 | 1/907,0.1481,0.3343
PF03630,Fumble,6/34399 | 1/907,0.1481,0.3343
PF01814,Hemerythrin HHE cation binding domain,6/34399 | 1/907,0.1481,0.3343
PF01439,Metallothionein,6/34399 | 1/907,0.1481,0.3343
PF01207,Dihydrouridine synthase (Dus),6/34399 | 1/907,0.1481,0.3343
PF07876,Stress responsive A/B Barrel Domain,6/34399 | 1/907,0.1481,0.3343
PF01195,Peptidyl-tRNA hydrolase,6/34399 | 1/907,0.1481,0.3343
PF13439,Glycosyltransferase Family 4,6/34399 | 1/907,0.1481,0.3343
PF00542,Ribosomal protein L7/L12 C-terminal domain,6/34399 | 1/907,0.1481,0.3343
PF00324,Amino acid permease,6/34399 | 1/907,0.1481,0.3343
PF01476,LysM domain,27/34399 | 2/907,0.1585,0.3499
PF05641,Agenet domain,27/34399 | 2/907,0.1585,0.3499
PF00534,Glycosyl transferases group 1,27/34399 | 2/907,0.1585,0.3499
PF03767,"HAD superfamily, subfamily IIIB (Acid phosphatase)",27/34399 | 2/907,0.1585,0.3499
PF02458,Transferase family,200/34399 | 8/907,0.1602,0.3499
PF00646,F-box domain,171/34399 | 7/907,0.167,0.3499
PF03467,Smg-4/UPF3 family,7/34399 | 1/907,0.1706,0.3499
PF01564,Spermine/spermidine synthase domain,7/34399 | 1/907,0.1706,0.3499
PF08880,QLQ,7/34399 | 1/907,0.1706,0.3499
PF11250,Fantastic Four meristem regulator,7/34399 | 1/907,0.1706,0.3499
PF04526,Protein of unknown function (DUF568),7/34399 | 1/907,0.1706,0.3499
PF00637,Region in Clathrin and VPS,7/34399 | 1/907,0.1706,0.3499
PF02791,DDT domain,7/34399 | 1/907,0.1706,0.3499
PF03765,"CRAL/TRIO, N-terminal domain",7/34399 | 1/907,0.1706,0.3499
PF02728,"Copper amine oxidase, N3 domain",7/34399 | 1/907,0.1706,0.3499
PF03641,Possible lysine decarboxylase,7/34399 | 1/907,0.1706,0.3499
PF01202,Shikimate kinase,7/34399 | 1/907,0.1706,0.3499
PF02727,"Copper amine oxidase, N2 domain",7/34399 | 1/907,0.1706,0.3499
PF15365,Proline-rich nuclear receptor coactivator motif,7/34399 | 1/907,0.1706,0.3499
PF01077,Nitrite and sulphite reductase 4Fe-4S domain,7/34399 | 1/907,0.1706,0.3499
PF11891,Protein RETICULATA-related,7/34399 | 1/907,0.1706,0.3499
PF00406,Adenylate kinase,7/34399 | 1/907,0.1706,0.3499
PF05347,Complex 1 protein (LYR family),7/34399 | 1/907,0.1706,0.3499
PF16974,High-affinity nitrate transporter accessory,7/34399 | 1/907,0.1706,0.3499
PF05055,Protein of unknown function (DUF677),7/34399 | 1/907,0.1706,0.3499
PF00364,Biotin-requiring enzyme,7/34399 | 1/907,0.1706,0.3499
PF13334,Domain of unknown function (DUF4094),7/34399 | 1/907,0.1706,0.3499
PF03492,SAM dependent carboxyl methyltransferase,83/34399 | 4/907,0.176,0.3577
PF00481,Protein phosphatase 2C,143/34399 | 6/907,0.1773,0.3577
PF14299,Phloem protein 2,29/34399 | 2/907,0.1774,0.3577
PF00566,Rab-GTPase-TBC domain,29/34399 | 2/907,0.1774,0.3577
PF01190,Pollen proteins Ole e I like,29/34399 | 2/907,0.1774,0.3577
PF00854,POT family,113/34399 | 5/907,0.1787,0.3592
PF09118,Domain of unknown function (DUF1929),30/34399 | 2/907,0.1869,0.3617
PF17177,Pentacotripeptide-repeat region of PRORP,30/34399 | 2/907,0.1869,0.3617
PF04535,Domain of unknown function (DUF588),30/34399 | 2/907,0.1869,0.3617
PF00011,Hsp20/alpha crystallin family,86/34399 | 4/907,0.1919,0.3617
PF12710,haloacid dehalogenase-like hydrolase,8/34399 | 1/907,0.1925,0.3617
PF07748,Glycosyl hydrolases family 38 C-terminal domain,8/34399 | 1/907,0.1925,0.3617
PF17284,Spermidine synthase tetramerisation domain,8/34399 | 1/907,0.1925,0.3617
PF02897,"Prolyl oligopeptidase, N-terminal beta-propeller domain",8/34399 | 1/907,0.1925,0.3617
PF00162,Phosphoglycerate kinase,8/34399 | 1/907,0.1925,0.3617
PF17035,Bromodomain extra-terminal - transcription regulation,8/34399 | 1/907,0.1925,0.3617
PF04727,ELMO/CED-12 family,8/34399 | 1/907,0.1925,0.3617
PF08766,DEK C terminal domain,8/34399 | 1/907,0.1925,0.3617
PF00181,"Ribosomal Proteins L2, RNA binding domain",8/34399 | 1/907,0.1925,0.3617
PF04042,DNA polymerase alpha/epsilon subunit B,8/34399 | 1/907,0.1925,0.3617
PF09273,Rubisco LSMT substrate-binding,8/34399 | 1/907,0.1925,0.3617
PF03949,"Malic enzyme, NAD binding domain",8/34399 | 1/907,0.1925,0.3617
PF03129,Anticodon binding domain,8/34399 | 1/907,0.1925,0.3617
PF02229,Transcriptional Coactivator p15 (PC4),8/34399 | 1/907,0.1925,0.3617
PF03069,Acetamidase/Formamidase family,8/34399 | 1/907,0.1925,0.3617
PF13180,PDZ domain,8/34399 | 1/907,0.1925,0.3617
PF03271,EB1-like C-terminal motif,8/34399 | 1/907,0.1925,0.3617
PF07690,Major Facilitator Superfamily,31/34399 | 2/907,0.1965,0.3682
PF00612,IQ calmodulin-binding motif,32/34399 | 2/907,0.2062,0.3828
PF00082,Subtilase family,89/34399 | 4/907,0.2082,0.3828
PF10557,Cullin protein neddylation domain,9/34399 | 1/907,0.2138,0.3828
PF01237,Oxysterol-binding protein,9/34399 | 1/907,0.2138,0.3828
PF04654,"Protein of unknown function, DUF599",9/34399 | 1/907,0.2138,0.3828
PF00635,MSP (Major sperm protein) domain,9/34399 | 1/907,0.2138,0.3828
PF02127,Aminopeptidase I zinc metalloprotease (M18),9/34399 | 1/907,0.2138,0.3828
PF02463,RecF/RecN/SMC N terminal domain,9/34399 | 1/907,0.2138,0.3828
PF16275,Splicing factor 1 helix-hairpin domain,9/34399 | 1/907,0.2138,0.3828
PF00026,Eukaryotic aspartyl protease,9/34399 | 1/907,0.2138,0.3828
PF00679,Elongation factor G C-terminus,9/34399 | 1/907,0.2138,0.3828
PF03219,TLC ATP/ADP transporter,9/34399 | 1/907,0.2138,0.3828
PF02466,Tim17/Tim22/Tim23/Pmp24 family,9/34399 | 1/907,0.2138,0.3828
